"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"90",0.89,"m1",1,98.660343,32.765852,0,-2.993741,-16.166203,0,-2.993741,-16.166203,0
"91",0.9,"m1",1,98.630067,32.602364,0,-3.027569,-16.348872,0,-3.027569,-16.348872,0
"92",0.91,"m1",1,98.599453,32.437048,0,-3.061397,-16.531541,0,-3.061397,-16.531541,0
"93",0.92,"m1",1,98.568501,32.269906,0,-3.095224,-16.71421,0,-3.095224,-16.71421,0
"94",0.93,"m1",1,98.537211,32.100937,0,-3.129052,-16.896879,0,-3.129052,-16.896879,0
"95",0.94,"m1",1,98.505582,31.930142,0,-3.162879,-17.079548,0,-3.162879,-17.079548,0
"96",0.95,"m1",1,98.473615,31.75752,0,-3.196707,-17.262217,0,-3.196707,-17.262217,0
"97",0.96,"m1",1,98.441309,31.583071,0,-3.230534,-17.444886,0,-3.230534,-17.444886,0
"98",0.97,"m1",1,98.408666,31.406795,0,-3.264362,-17.627555,0,-3.264362,-17.627555,0
"99",0.98,"m1",1,98.375684,31.228693,0,-3.29819,-17.810224,0,-3.29819,-17.810224,0
"100",0.99,"m1",1,98.342364,31.048764,0,-3.332017,-17.992893,0,-3.332017,-17.992893,0
"101",1,"m1",1,98.308705,30.867008,0,-3.365845,-18.175562,0,-3.365845,-18.175562,0
"102",1.01,"m1",1,98.274709,30.683426,0,-3.399672,-18.358231,0,-3.399672,-18.358231,0
"103",1.02,"m1",1,98.240374,30.498017,0,-3.4335,-18.5409,0,-3.4335,-18.5409,0
"104",1.03,"m1",1,98.2057,30.310781,0,-3.467328,-18.723569,0,-3.467328,-18.723569,0
"105",1.04,"m1",1,98.170689,30.121719,0,-3.501155,-18.906238,0,-3.501155,-18.906238,0
"106",1.05,"m1",1,98.135339,29.93083,0,-3.534983,-19.088907,0,-3.534983,-19.088907,0
"107",1.06,"m1",1,98.099651,29.738114,0,-3.56881,-19.271576,0,-3.56881,-19.271576,0
"108",1.07,"m1",1,98.063624,29.543572,0,-3.602638,-19.454245,0,-3.602638,-19.454245,0
"109",1.08,"m1",1,98.02726,29.347203,0,-3.636466,-19.636914,0,-3.636466,-19.636914,0
"110",1.09,"m1",1,97.990557,29.149007,0,-3.670293,-19.819583,0,-3.670293,-19.819583,0
"111",1.1,"m1",1,97.953516,28.948984,0,-3.704121,-20.002252,0,-3.704121,-20.002252,0
"112",1.11,"m1",1,97.916136,28.747135,0,-3.737948,-20.184921,0,-3.737948,-20.184921,0
"113",1.12,"m1",1,97.878418,28.543459,0,-3.771776,-20.36759,0,-3.771776,-20.36759,0
"114",1.13,"m1",1,97.840362,28.337957,0,-3.805603,-20.550259,0,-3.805603,-20.550259,0
"115",1.14,"m1",1,97.801968,28.130627,0,-3.839431,-20.732928,0,-3.839431,-20.732928,0
"116",1.15,"m1",1,97.763235,27.921471,0,-3.873259,-20.915597,0,-3.873259,-20.915597,0
"117",1.16,"m1",1,97.724165,27.710489,0,-3.907086,-21.098266,0,-3.907086,-21.098266,0
"118",1.17,"m1",1,97.684755,27.497679,0,-3.940914,-21.280934,0,-3.940914,-21.280934,0
"119",1.18,"m1",1,97.645008,27.283043,0,-3.974741,-21.463603,0,-3.974741,-21.463603,0
"120",1.19,"m1",1,97.604922,27.066581,0,-4.008569,-21.646272,0,-4.008569,-21.646272,0
"121",1.2,"m1",1,97.564498,26.848291,0,-4.042397,-21.828941,0,-4.042397,-21.828941,0
"122",1.21,"m1",1,97.523736,26.628175,0,-4.076224,-22.01161,0,-4.076224,-22.01161,0
"123",1.22,"m1",1,97.482636,26.406232,0,-4.110052,-22.194279,0,-4.110052,-22.194279,0
"124",1.23,"m1",1,97.441197,26.182463,0,-4.143879,-22.376948,0,-4.143879,-22.376948,0
"125",1.24,"m1",1,97.39942,25.956867,0,-4.177707,-22.559617,0,-4.177707,-22.559617,0
"126",1.25,"m1",1,97.357304,25.729444,0,-4.211534,-22.742286,0,-4.211534,-22.742286,0
"127",1.26,"m1",1,97.314851,25.500194,0,-4.245362,-22.924955,0,-4.245362,-22.924955,0
"128",1.27,"m1",1,97.272059,25.269118,0,-4.27919,-23.107624,0,-4.27919,-23.107624,0
"129",1.28,"m1",1,97.228929,25.036215,0,-4.313017,-23.290293,0,-4.313017,-23.290293,0
"130",1.29,"m1",1,97.18546,24.801485,0,-4.346845,-23.472962,0,-4.346845,-23.472962,0
"131",1.3,"m1",1,97.141654,24.564929,0,-4.380672,-23.655631,0,-4.380672,-23.655631,0
"132",1.31,"m1",1,97.097509,24.326546,0,-4.4145,-23.8383,0,-4.4145,-23.8383,0
"133",1.32,"m1",1,97.053025,24.086336,0,-4.448328,-24.020969,0,-4.448328,-24.020969,0
"134",1.33,"m1",1,97.008204,23.8443,0,-4.482155,-24.203638,0,-4.482155,-24.203638,0
"135",1.34,"m1",1,96.963044,23.600437,0,-4.515983,-24.386307,0,-4.515983,-24.386307,0
"136",1.35,"m1",1,96.917546,23.354747,0,-4.54981,-24.568976,0,-4.54981,-24.568976,0
"137",1.36,"m1",1,96.871709,23.107231,0,-4.583638,-24.751645,0,-4.583638,-24.751645,0
"138",1.37,"m1",1,96.825535,22.857888,0,-4.617466,-24.934314,0,-4.617466,-24.934314,0
"139",1.38,"m1",1,96.779022,22.606718,0,-4.651293,-25.116983,0,-4.651293,-25.116983,0
"140",1.39,"m1",1,96.732171,22.353721,0,-4.685121,-25.299652,0,-4.685121,-25.299652,0
"141",1.4,"m1",1,96.684981,22.098898,0,-4.718948,-25.482321,0,-4.718948,-25.482321,0
"142",1.41,"m1",1,96.637453,21.842248,0,-4.752776,-25.66499,0,-4.752776,-25.66499,0
"143",1.42,"m1",1,96.589587,21.583772,0,-4.786603,-25.847659,0,-4.786603,-25.847659,0
"144",1.43,"m1",1,96.541383,21.323468,0,-4.820431,-26.030328,0,-4.820431,-26.030328,0
"145",1.44,"m1",1,96.49284,21.061338,0,-4.854259,-26.212997,0,-4.854259,-26.212997,0
"146",1.45,"m1",1,96.44396,20.797382,0,-4.888086,-26.395666,0,-4.888086,-26.395666,0
"147",1.46,"m1",1,96.39474,20.531598,0,-4.921914,-26.578334,0,-4.921914,-26.578334,0
