"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"124",1.23,"m1",1,-0.97621,-0.216828,0,0.126664,-0.578355,0,0.126664,-0.578355,0
"125",1.24,"m1",1,-0.974696,-0.223535,0,0.15141,-0.670779,0,0.15141,-0.670779,0
"126",1.25,"m1",1,-0.972916,-0.231161,0,0.178029,-0.762555,0,0.178029,-0.762555,0
"127",1.26,"m1",1,-0.970848,-0.239696,0,0.206766,-0.85356,0,0.206766,-0.85356,0
"128",1.27,"m1",1,-0.968469,-0.249133,0,0.237862,-0.943661,0,0.237862,-0.943661,0
"129",1.28,"m1",1,-0.965754,-0.25946,0,0.271546,-1.032711,0,0.271546,-1.032711,0
"130",1.29,"m1",1,-0.962673,-0.270666,0,0.30804,-1.12055,0,0.30804,-1.12055,0
"131",1.3,"m1",1,-0.959198,-0.282736,0,0.347555,-1.207002,0,0.347555,-1.207002,0
"132",1.31,"m1",1,-0.955295,-0.295654,0,0.390291,-1.291876,0,0.390291,-1.291876,0
"133",1.32,"m1",1,-0.950931,-0.309404,0,0.43643,-1.374964,0,0.43643,-1.374964,0
"134",1.33,"m1",1,-0.946069,-0.323965,0,0.486142,-1.456041,0,0.486142,-1.456041,0
"135",1.34,"m1",1,-0.940673,-0.339313,0,0.539577,-1.534866,0,0.539577,-1.534866,0
"136",1.35,"m1",1,-0.934705,-0.355425,0,0.596866,-1.611182,0,0.596866,-1.611182,0
"137",1.36,"m1",1,-0.928124,-0.372272,0,0.658118,-1.684714,0,0.658118,-1.684714,0
"138",1.37,"m1",1,-0.920889,-0.389824,0,0.723418,-1.755171,0,0.723418,-1.755171,0
"139",1.38,"m1",1,-0.912961,-0.408046,0,0.792823,-1.822251,0,0.792823,-1.822251,0
"140",1.39,"m1",1,-0.904298,-0.426903,0,0.866364,-1.885633,0,0.866364,-1.885633,0
"141",1.4,"m1",1,-0.894857,-0.446353,0,0.944039,-1.944989,0,0.944039,-1.944989,0
"142",1.41,"m1",1,-0.884599,-0.466352,0,1.025814,-1.999979,0,1.025814,-1.999979,0
"143",1.42,"m1",1,-0.873483,-0.486855,0,1.111619,-2.050253,0,1.111619,-2.050253,0
"144",1.43,"m1",1,-0.861469,-0.50781,0,1.201347,-2.095461,0,1.201347,-2.095461,0
"145",1.44,"m1",1,-0.848521,-0.529162,0,1.294855,-2.135247,0,1.294855,-2.135247,0
"146",1.45,"m1",1,-0.834601,-0.550855,0,1.391957,-2.169257,0,1.391957,-2.169257,0
"147",1.46,"m1",1,-0.819677,-0.572826,0,1.492427,-2.197145,0,1.492427,-2.197145,0
"148",1.47,"m1",1,-0.803717,-0.595012,0,1.595996,-2.21857,0,1.595996,-2.21857,0
"149",1.48,"m1",1,-0.786693,-0.617344,0,1.702354,-2.233208,0,1.702354,-2.233208,0
"150",1.49,"m1",1,-0.768582,-0.639751,0,1.811149,-2.240749,0,1.811149,-2.240749,0
"151",1.5,"m1",1,-0.749362,-0.66216,0,1.921986,-2.24091,0,1.921986,-2.24091,0
"152",1.51,"m1",1,-0.729018,-0.684495,0,2.034431,-2.233432,0,2.034431,-2.233432,0
"153",1.52,"m1",1,-0.707538,-0.706676,0,2.148013,-2.218089,0,2.148013,-2.218089,0
"154",1.53,"m1",1,-0.684915,-0.728623,0,2.262221,-2.194692,0,2.262221,-2.194692,0
"155",1.54,"m1",1,-0.66115,-0.750253,0,2.376516,-2.163094,0,2.376516,-2.163094,0
"156",1.55,"m1",1,-0.636247,-0.771485,0,2.490327,-2.123192,0,2.490327,-2.123192,0
"157",1.56,"m1",1,-0.610216,-0.792235,0,2.603058,-2.074935,0,2.603058,-2.074935,0
"158",1.57,"m1",1,-0.583076,-0.812418,0,2.714095,-2.018323,0,2.714095,-2.018323,0
