"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"163",1.62,"m1",1,1,-12.872437,0,0,-15.84315,0,0,-15.84315,0
"164",1.63,"m1",1,1,-13.031849,0,0,-15.94125,0,0,-15.94125,0
"165",1.64,"m1",1,1,-13.192243,0,0,-16.03935,0,0,-16.03935,0
"166",1.65,"m1",1,1,-13.353617,0,0,-16.13745,0,0,-16.13745,0
"167",1.66,"m1",1,1,-13.515973,0,0,-16.23555,0,0,-16.23555,0
"168",1.67,"m1",1,1,-13.679309,0,0,-16.33365,0,0,-16.33365,0
"169",1.68,"m1",1,1,-13.843627,0,0,-16.43175,0,0,-16.43175,0
"170",1.69,"m1",1,1,-14.008925,0,0,-16.52985,0,0,-16.52985,0
"171",1.7,"m1",1,1,-14.175205,0,0,-16.62795,0,0,-16.62795,0
"172",1.71,"m1",1,1,-14.342465,0,0,-16.72605,0,0,-16.72605,0
"173",1.72,"m1",1,1,-14.510707,0,0,-16.82415,0,0,-16.82415,0
"174",1.73,"m1",1,1,-14.679929,0,0,-16.92225,0,0,-16.92225,0
"175",1.74,"m1",1,1,-14.850133,0,0,-17.02035,0,0,-17.02035,0
"176",1.75,"m1",1,1,-15.021317,0,0,-17.11845,0,0,-17.11845,0
"177",1.76,"m1",1,1,-15.193483,0,0,-17.21655,0,0,-17.21655,0
"178",1.77,"m1",1,1,-15.366629,0,0,-17.31465,0,0,-17.31465,0
"179",1.78,"m1",1,1,-15.540757,0,0,-17.41275,0,0,-17.41275,0
"180",1.79,"m1",1,1,-15.715865,0,0,-17.51085,0,0,-17.51085,0
"181",1.8,"m1",1,1,-15.891955,0,0,-17.60895,0,0,-17.60895,0
"182",1.81,"m1",1,1,-16.069025,0,0,-17.70705,0,0,-17.70705,0
"183",1.82,"m1",1,1,-16.247077,0,0,-17.80515,0,0,-17.80515,0
"184",1.83,"m1",1,1,-16.426109,0,0,-17.90325,0,0,-17.90325,0
"185",1.84,"m1",1,1,-16.606123,0,0,-18.00135,0,0,-18.00135,0
"186",1.85,"m1",1,1,-16.787117,0,0,-18.09945,0,0,-18.09945,0
"187",1.86,"m1",1,1,-16.969093,0,0,-18.19755,0,0,-18.19755,0
"188",1.87,"m1",1,1,-17.152049,0,0,-18.29565,0,0,-18.29565,0
"189",1.88,"m1",1,1,-17.335987,0,0,-18.39375,0,0,-18.39375,0
"190",1.89,"m1",1,1,-17.520905,0,0,-18.49185,0,0,-18.49185,0
"191",1.9,"m1",1,1,-17.706805,0,0,-18.58995,0,0,-18.58995,0
"192",1.91,"m1",1,1,-17.893685,0,0,-18.68805,0,0,-18.68805,0
"193",1.92,"m1",1,1,-18.081547,0,0,-18.78615,0,0,-18.78615,0
"194",1.93,"m1",1,1,-18.270389,0,0,-18.88425,0,0,-18.88425,0
"195",1.94,"m1",1,1,-18.460213,0,0,-18.98235,0,0,-18.98235,0
"196",1.95,"m1",1,1,-18.651017,0,0,-19.08045,0,0,-19.08045,0
"197",1.96,"m1",1,1,-18.842803,0,0,-19.17855,0,0,-19.17855,0
"198",1.97,"m1",1,1,-19.035569,0,0,-19.27665,0,0,-19.27665,0
"199",1.98,"m1",1,1,-19.229317,0,0,-19.37475,0,0,-19.37475,0
"200",1.99,"m1",1,1,-19.424045,0,0,-19.47285,0,0,-19.47285,0
"201",2,"m1",1,1,-19.619755,0,0,-19.57095,0,0,-19.57095,0
"202",2.01,"m1",1,1,-19.816445,0,0,-19.66905,0,0,-19.66905,0
"203",2.02,"m1",1,1,-20.014117,0,0,-19.76715,0,0,-19.76715,0
"204",2.03,"m1",1,1,-20.212769,0,0,-19.86525,0,0,-19.86525,0
"205",2.04,"m1",1,1,-20.412403,0,0,-19.96335,0,0,-19.96335,0
"206",2.05,"m1",1,1,-20.613017,0,0,-20.06145,0,0,-20.06145,0
"207",2.06,"m1",1,1,-20.814613,0,0,-20.15955,0,0,-20.15955,0
"208",2.07,"m1",1,1,-21.017189,0,0,-20.25765,0,0,-20.25765,0
"209",2.08,"m1",1,1,-21.220747,0,0,-20.35575,0,0,-20.35575,0
"210",2.09,"m1",1,1,-21.425285,0,0,-20.45385,0,0,-20.45385,0
"211",2.1,"m1",1,1,-21.630805,0,0,-20.55195,0,0,-20.55195,0
"212",2.11,"m1",1,1,-21.837305,0,0,-20.65005,0,0,-20.65005,0
"213",2.12,"m1",1,1,-22.044787,0,0,-20.74815,0,0,-20.74815,0
"214",2.13,"m1",1,1,-22.253249,0,0,-20.84625,0,0,-20.84625,0
"215",2.14,"m1",1,1,-22.462693,0,0,-20.94435,0,0,-20.94435,0
"216",2.15,"m1",1,1,-22.673117,0,0,-21.04245,0,0,-21.04245,0
"217",2.16,"m1",1,1,-22.884523,0,0,-21.14055,0,0,-21.14055,0
"218",2.17,"m1",1,1,-23.096909,0,0,-21.23865,0,0,-21.23865,0
"219",2.18,"m1",1,1,-23.310277,0,0,-21.33675,0,0,-21.33675,0
"220",2.19,"m1",1,1,-23.524625,0,0,-21.43485,0,0,-21.43485,0
"221",2.2,"m1",1,1,-23.739955,0,0,-21.53295,0,0,-21.53295,0
"222",2.21,"m1",1,1,-23.956265,0,0,-21.63105,0,0,-21.63105,0
"223",2.22,"m1",1,1,-24.173557,0,0,-21.72915,0,0,-21.72915,0
"224",2.23,"m1",1,1,-24.391829,0,0,-21.82725,0,0,-21.82725,0
"225",2.24,"m1",1,1,-24.611083,0,0,-21.92535,0,0,-21.92535,0
"226",2.25,"m1",1,1,-24.831317,0,0,-22.02345,0,0,-22.02345,0
"227",2.26,"m1",1,1,-25.052533,0,0,-22.12155,0,0,-22.12155,0
"228",2.27,"m1",1,1,-25.274729,0,0,-22.21965,0,0,-22.21965,0
"229",2.28,"m1",1,1,-25.497907,0,0,-22.31775,0,0,-22.31775,0
"230",2.29,"m1",1,1,-25.722065,0,0,-22.41585,0,0,-22.41585,0
"231",2.3,"m1",1,1,-25.947205,0,0,-22.51395,0,0,-22.51395,0
"232",2.31,"m1",1,1,-26.173325,0,0,-22.61205,0,0,-22.61205,0
"233",2.32,"m1",1,1,-26.400427,0,0,-22.71015,0,0,-22.71015,0
"234",2.33,"m1",1,1,-26.628509,0,0,-22.80825,0,0,-22.80825,0
"235",2.34,"m1",1,1,-26.857573,0,0,-22.90635,0,0,-22.90635,0
"236",2.35,"m1",1,1,-27.087617,0,0,-23.00445,0,0,-23.00445,0
"237",2.36,"m1",1,1,-27.318643,0,0,-23.10255,0,0,-23.10255,0
"238",2.37,"m1",1,1,-27.550649,0,0,-23.20065,0,0,-23.20065,0
"239",2.38,"m1",1,1,-27.783637,0,0,-23.29875,0,0,-23.29875,0
"240",2.39,"m1",1,1,-28.017605,0,0,-23.39685,0,0,-23.39685,0
"241",2.4,"m1",1,1,-28.252555,0,0,-23.49495,0,0,-23.49495,0
"242",2.41,"m1",1,1,-28.488485,0,0,-23.59305,0,0,-23.59305,0
"243",2.42,"m1",1,1,-28.725397,0,0,-23.69115,0,0,-23.69115,0
"244",2.43,"m1",1,1,-28.963289,0,0,-23.78925,0,0,-23.78925,0
"245",2.44,"m1",1,1,-29.202163,0,0,-23.88735,0,0,-23.88735,0
"246",2.45,"m1",1,1,-29.442017,0,0,-23.98545,0,0,-23.98545,0
"247",2.46,"m1",1,1,-29.682853,0,0,-24.08355,0,0,-24.08355,0
