"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"240",0.79,"m3",1,0.490933,-2.074915,0,-8.580466,-2.344356,0,-8.580466,-2.344356,0
"241",0.8,"m1",1,-0.685068,-0.72848,0,-2.455105,2.233198,0,-2.455105,2.233198,0
"242",0.8,"m2",0.5,-0.208462,-1.642802,0,-8.658111,-1.153129,0,-4.3290555,-0.5765645,0
"243",0.8,"m3",1,0.401494,-2.096113,0,-8.943821,-2.119738,0,-8.943821,-2.119738,0
"244",0.81,"m1",1,-0.708348,-0.705863,0,-2.328093,2.261665,0,-2.328093,2.261665,0
"245",0.81,"m2",0.5,-0.297023,-1.65012,0,-8.856138,-0.731847,0,-4.428069,-0.3659235,0
"246",0.81,"m3",1,0.308362,-2.114917,0,-9.313206,-1.880408,0,-9.313206,-1.880408,0
"247",0.82,"m1",1,-0.730371,-0.68305,0,-2.202266,2.281239,0,-2.202266,2.281239,0
"248",0.82,"m2",0.5,-0.387283,-1.65292,0,-9.025963,-0.279957,0,-4.5129815,-0.1399785,0
"249",0.82,"m3",1,0.211496,-2.131169,0,-9.686644,-1.625244,0,-9.686644,-1.625244,0
"250",0.83,"m1",1,-0.751153,-0.660128,0,-2.07816,2.292206,0,-2.07816,2.292206,0
"251",0.83,"m2",0.5,-0.478917,-1.65092,0,-9.163405,0.200017,0,-4.5817025,0.1000085,0
"252",0.83,"m3",1,0.110872,-2.144693,0,-10.062371,-1.35243,0,-10.062371,-1.35243,0
"253",0.84,"m1",1,-0.770715,-0.63718,0,-1.956261,2.294884,0,-1.956261,2.294884,0
"254",0.84,"m2",0.5,-0.571563,-1.64387,0,-9.264544,0.70498,0,-4.632272,0.35249,0
