"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"89",0.44,"m1",1,0.596945,0,-0.802282,-3.041351,0,-2.355158,-3.041351,0,-2.355158
"90",0.44,"m2",1,1.584261,0,-0.961049,-3.310858,0,-4.132951,-3.310858,0,-4.132951
"91",0.45,"m1",1,0.565238,0,-0.824928,-3.170659,0,-2.264542,-3.170659,0,-2.264542
"92",0.45,"m2",1,1.549253,0,-1.003016,-3.500816,0,-4.196673,-3.500816,0,-4.196673
"93",0.46,"m1",1,0.532282,0,-0.846567,-3.295602,0,-2.163926,-3.295602,0,-2.163926
"94",0.46,"m2",1,1.512282,0,-1.045565,-3.697069,0,-4.254922,-3.697069,0,-4.254922
"95",0.47,"m1",1,0.498129,0,-0.867103,-3.415335,0,-2.053604,-3.415335,0,-2.053604
"96",0.47,"m2",1,1.473282,0,-1.088635,-3.899997,0,-4.306921,-3.899997,0,-4.306921
"97",0.48,"m1",1,0.462839,0,-0.886443,-3.529028,0,-1.933956,-3.529028,0,-1.933956
"98",0.48,"m2",1,1.432182,0,-1.132152,-4.110006,0,-4.351788,-4.110006,0,-4.351788
"99",0.49,"m1",1,0.42648,0,-0.904497,-3.635875,0,-1.805449,-3.635875,0,-1.805449
"100",0.49,"m2",1,1.388907,0,-1.176038,-4.327517,0,-4.388519,-4.327517,0,-4.388519
"101",0.5,"m1",1,0.389129,0,-0.921183,-3.73511,0,-1.668631,-3.73511,0,-1.668631
"102",0.5,"m2",1,1.343377,0,-1.220197,-4.55294,0,-4.415983,-4.55294,0,-4.415983
"103",0.51,"m1",1,0.350869,0,-0.936425,-3.82601,0,-1.524131,-3.82601,0,-1.524131
"104",0.51,"m2",1,1.295511,0,-1.264527,-4.786645,0,-4.43291,-4.786645,0,-4.43291
"105",0.52,"m1",1,0.31179,0,-0.950151,-3.907909,0,-1.37265,-3.907909,0,-1.37265
"106",0.52,"m2",1,1.245222,0,-1.308905,-5.028939,0,-4.437887,-5.028939,0,-4.437887
"107",0.53,"m1",1,0.271987,0,-0.962301,-3.980207,0,-1.21496,-3.980207,0,-1.21496
"108",0.53,"m2",1,1.192421,0,-1.353199,-5.28002,0,-4.429356,-5.28002,0,-4.429356
"109",0.54,"m1",1,0.231564,0,-0.97282,-4.042373,0,-1.051894,-4.042373,0,-1.051894
"110",0.54,"m2",1,1.137022,0,-1.397255,-5.539943,0,-4.405616,-5.539943,0,-4.405616
"111",0.55,"m1",1,0.190624,0,-0.981663,-4.09396,0,-0.884336,-4.09396,0,-0.884336
"112",0.55,"m2",1,1.078936,0,-1.440903,-5.808579,0,-4.364837,-5.808579,0,-4.364837
"113",0.56,"m1",1,0.149278,0,-0.988795,-4.134604,0,-0.713215,-4.134604,0,-0.713215
"114",0.56,"m2",1,1.018081,0,-1.483954,-6.085567,0,-4.305072,-6.085567,0,-4.305072
"115",0.57,"m1",1,0.107638,0,-0.99419,-4.164033,0,-0.539493,-4.164033,0,-0.539493
"116",0.57,"m2",1,0.954378,0,-1.526197,-6.370274,0,-4.224291,-6.370274,0,-4.224291
"117",0.58,"m1",1,0.065817,0,-0.997832,-4.182069,0,-0.364153,-4.182069,0,-0.364153
"118",0.58,"m2",1,0.88776,0,-1.567401,-6.661752,0,-4.12041,-6.661752,0,-4.12041
"119",0.59,"m1",1,0.023931,0,-0.999714,-4.18863,0,-0.188191,-4.18863,0,-0.188191
"120",0.59,"m2",1,0.818173,0,-1.607315,-6.958704,0,-3.99134,-6.958704,0,-3.99134
"121",0.6,"m1",1,-0.017906,0,-0.99984,-4.183728,0,-0.012605,-4.183728,0,-0.012605
"122",0.6,"m2",1,0.745579,0,-1.645665,-7.259452,0,-3.835039,-7.259452,0,-3.835039
"123",0.61,"m1",1,-0.059581,0,-0.998223,-4.167474,0,0.161621,-4.167474,0,0.161621
"124",0.61,"m2",1,0.66996,0,-1.682161,-7.561918,0,-3.649581,-7.561918,0,-3.649581
"125",0.62,"m1",1,-0.100982,0,-0.994888,-4.140069,0,0.33352,-4.140069,0,0.33352
"126",0.62,"m2",1,0.591323,0,-1.716493,-7.863613,0,-3.433217,-7.863613,0,-3.433217
"127",0.63,"m1",1,-0.142,0,-0.989867,-4.101804,0,0.50216,-4.101804,0,0.50216
"128",0.63,"m2",1,0.509707,0,-1.748338,-8.161645,0,-3.18446,-8.161645,0,-3.18446
"129",0.64,"m1",1,-0.18253,0,-0.9832,-4.053055,0,0.666647,-4.053055,0,0.666647
"130",0.64,"m2",1,0.42518,0,-1.777359,-8.452738,0,-2.902159,-8.452738,0,-2.902159
"131",0.65,"m1",1,-0.222473,0,-0.974939,-3.994274,0,0.826139,-3.994274,0,0.826139
"132",0.65,"m2",1,0.337847,0,-1.803215,-8.733267,0,-2.585576,-8.733267,0,-2.585576
"133",0.66,"m1",1,-0.261733,0,-0.96514,-3.925986,0,0.97985,-3.925986,0,0.97985
"134",0.66,"m2",1,0.247854,0,-1.82556,-8.999317,0,-2.23446,-8.999317,0,-2.23446
"135",0.67,"m1",1,-0.300221,0,-0.95387,-3.848778,0,1.127058,-3.848778,0,1.127058
"136",0.67,"m2",1,0.155386,0,-1.844051,-9.24675,0,-1.849115,-9.24675,0,-1.849115
"137",0.68,"m1",1,-0.337854,0,-0.941199,-3.763291,0,1.26711,-3.763291,0,1.26711
"138",0.68,"m2",1,0.060673,0,-1.858355,-9.471297,0,-1.430451,-9.471297,0,-1.430451
"139",0.69,"m1",1,-0.374556,0,-0.927204,-3.670211,0,1.399427,-3.670211,0,1.399427
"140",0.69,"m2",1,-0.036013,0,-1.868155,-9.668652,0,-0.98002,-9.668652,0,-0.98002
"141",0.7,"m1",1,-0.410259,0,-0.911969,-3.570261,0,1.523506,-3.570261,0,1.523506
"142",0.7,"m2",1,-0.134359,0,-1.873156,-9.834584,0,-0.50004,-9.834584,0,-0.50004
"143",0.71,"m1",1,-0.4449,0,-0.89558,-3.464192,0,1.638923,-3.464192,0,1.638923
"144",0.71,"m2",1,-0.23401,0,-1.87309,-9.965055,0,0.006612,-9.965055,0,0.006612
"145",0.72,"m1",1,-0.478428,0,-0.878127,-3.35277,0,1.745332,-3.35277,0,1.745332
"146",0.72,"m2",1,-0.334573,0,-1.867725,-10.056332,0,0.53642,-10.056332,0,0.53642
"147",0.73,"m1",1,-0.510796,0,-0.859702,-3.236771,0,1.842466,-3.236771,0,1.842466
