"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz","ke","pe","te"
"63",0.31,"m1",1,0.886691,0,-0.462362,-1.322503,0,-2.629927,-1.322503,0,-2.629927,4.332765105169,-4.53577122,-0.203006114831
"64",0.31,"m2",1,1.886409,0,-0.486126,-1.331201,0,-3.029463,-1.331201,0,-3.029463,5.474871085385,-4.76889606,0.705975025384999
"65",0.32,"m1",1,0.872292,0,-0.488985,-1.43987,0,-2.662234,-1.43987,0,-2.662234,4.580357743828,-4.79694285,-0.216585106172
"66",0.32,"m2",1,1.87189,0,-0.517367,-1.451917,0,-3.124136,-1.451917,0,-3.124136,5.9341443606925,-5.07537027,0.858774090692499
"67",0.33,"m1",1,0.856676,0,-0.515855,-1.561634,0,-2.687013,-1.561634,0,-2.687013,4.8293698060625,-5.06053755,-0.2311677439375
"68",0.33,"m2",1,1.856108,0,-0.549547,-1.578122,0,-3.217981,-1.578122,0,-3.217981,6.4229353816225,-5.39105607,1.0318793116225
"69",0.34,"m1",1,0.839802,0,-0.542893,-1.687407,0,-2.703807,-1.687407,0,-2.703807,5.078957338449,-5.32578033,-0.246822991551
"70",0.34,"m2",1,1.839011,0,-0.582656,-1.709717,0,-3.310844,-1.709717,0,-3.310844,6.9424101062125,-5.71585536,1.2265547462125
"71",0.35,"m1",1,0.821635,0,-0.570015,-1.816743,0,-2.712178,-1.816743,0,-2.712178,5.3282323158665,-5.59184715,-0.2636148341335
"72",0.35,"m2",1,1.820545,0,-0.616681,-1.846605,0,-3.402549,-1.846605,0,-3.402549,7.493644861713,-6.04964061,1.444004251713
"73",0.36,"m1",1,0.802143,0,-0.597132,-1.949141,0,-2.711719,-1.949141,0,-2.711719,5.576285286421,-5.85786492,-0.281579633579
"74",0.36,"m2",1,1.800658,0,-0.65161,-1.988698,0,-3.492897,-1.988698,0,-3.492897,8.0776245939065,-6.3922941,1.6853304939065
"75",0.37,"m1",1,0.781303,0,-0.624152,-2.084044,0,-2.70205,-2.084044,0,-2.70205,5.822156798218,-6.12293112,-0.300774321782001
"76",0.37,"m2",1,1.779299,0,-0.687427,-2.135923,0,-3.581663,-2.135923,0,-3.581663,8.695238453749,-6.74365887,1.951579583749
"77",0.38,"m1",1,0.759094,0,-0.650981,-2.220839,0,-2.682838,-2.220839,0,-2.682838,6.0648727990825,-6.38612361,-0.321250810917501
"78",0.38,"m2",1,1.756417,0,-0.724113,-2.288229,0,-3.668594,-2.288229,0,-3.668594,9.3472869466385,-7.10354853,2.2437384166385
"79",0.39,"m1",1,0.735506,0,-0.677519,-2.358866,0,-2.653793,-2.358866,0,-2.653793,6.3034330464025,-6.64646139,-0.3430283435975
"80",0.39,"m2",1,1.731961,0,-0.761647,-2.445599,0,-3.753408,-2.445599,0,-3.753408,10.0345130416325,-7.47175707,2.5627559716325
"81",0.4,"m1",1,0.710532,0,-0.703665,-2.497416,0,-2.614682,-2.497416,0,-2.614682,6.53682431909,-6.90295365,-0.366129330910001
"82",0.4,"m2",1,1.70588,0,-0.800004,-2.608054,0,-3.835784,-2.608054,0,-3.835784,10.757592280786,-7.84803924,2.909553040786
"83",0.41,"m1",1,0.684174,0,-0.729319,-2.635739,0,-2.565332,-2.635739,0,-2.565332,6.7640241731725,-7.15461939,-0.3905952168275
"84",0.41,"m2",1,1.678123,0,-0.839158,-2.775661,0,-3.915362,-2.775661,0,-3.915362,11.5171767889825,-8.23213998,3.2850368089825
"85",0.42,"m1",1,0.656444,0,-0.754375,-2.773049,0,-2.505637,-2.773049,0,-2.505637,6.984008766085,-7.40041875,-0.416409983915001
"86",0.42,"m2",1,1.648638,0,-0.879075,-2.948539,0,-3.991735,-2.948539,0,-3.991735,12.313915272373,-8.62372575,3.690189522373
"87",0.43,"m1",1,0.627358,0,-0.778731,-2.908531,0,-2.435565,-2.908531,0,-2.435565,7.195764723593,-7.63935111,-0.443586386407
"88",0.43,"m2",1,1.617369,0,-0.91972,-3.126861,0,-4.064439,-3.126861,0,-4.064439,13.148462049021,-9.0224532,4.126008849021
