"","x1","x2","y1","y2","z1","z2","E","t","t_sub"
"97",0.00047942,0.5210601,0.00012442,0.54770354,0,0,-0.00207625,0.96,20
"98",0.00048973,0.51075574,0.00012893,0.55019742,0,0,-0.0020853,0.97,20
"99",0.00050037,0.50013435,0.00013356,0.5525727,0,0,-0.00209521,0.98,20
"100",0.00051092,0.48959048,0.00013833,0.55480443,0,0,-0.00210474,0.99,20
"101",0.0005218,0.4787255,0.00014324,0.55690768,0,0,-0.00211517,1,21
"102",0.00053259,0.46794195,0.00014828,0.55886336,0,0,-0.00212522,1.01,21
"103",0.00054371,0.45683329,0.00015347,0.56067991,0,0,-0.00213621,1.02,21
"104",0.00055474,0.44581021,0.00015881,0.5623447,0,0,-0.00214681,1.03,21
"105",0.00056611,0.43445817,0.00016431,0.56385891,0,0,-0.0021584,1.04,21
"106",0.00057738,0.42319608,0.00016995,0.56521695,0,0,-0.00216959,1.05,22
"107",0.00058899,0.41160137,0.00017576,0.56641211,0,0,-0.00218181,1.06,22
"108",0.0006005,0.40010124,0.00018174,0.56744649,0,0,-0.00219363,1.07,22
"109",0.00061235,0.38826507,0.00018788,0.56830475,0,0,-0.00220654,1.08,22
"110",0.0006241,0.37652843,0.0001942,0.56899735,0,0,-0.00221902,1.09,22
"111",0.00063618,0.36445264,0.0002007,0.56949958,0,0,-0.00223266,1.1,23
"112",0.00064817,0.35248166,0.00020738,0.56983103,0,0,-0.00224586,1.11,23
"113",0.00066049,0.3401688,0.00021426,0.56995676,0,0,-0.00226029,1.12,23
"114",0.00067271,0.32796643,0.00022132,0.56990627,0,0,-0.00227426,1.13,23
"115",0.00068527,0.31541992,0.0002286,0.56963355,0,0,-0.00228952,1.14,23
"116",0.00069771,0.30299004,0.00023606,0.56917882,0,0,-0.00230433,1.15,24
"117",0.0007105,0.29021434,0.00024376,0.56848409,0,0,-0.00232049,1.16,24
"118",0.00072316,0.27756195,0.00025165,0.56760121,0,0,-0.00233618,1.17,24
"119",0.00073617,0.26456275,0.0002598,0.56645919,0,0,-0.00235331,1.18,24
"120",0.00074905,0.25169414,0.00026815,0.56512246,0,0,-0.00236995,1.19,24
"121",0.00076228,0.2384786,0.00027677,0.56350599,0,0,-0.00238812,1.2,25
"122",0.00077537,0.22540166,0.0002856,0.56168782,0,0,-0.00240579,1.21,25
"123",0.00078881,0.21197871,0.00029473,0.55956772,0,0,-0.00242507,1.22,25
"124",0.0008021,0.19870318,0.00030407,0.55723848,0,0,-0.00244384,1.23,25
"125",0.00081573,0.18508381,0.00031373,0.55458344,0,0,-0.00246432,1.24,25
"126",0.00082921,0.1716217,0.00032361,0.55171129,0,0,-0.00248427,1.25,26
"127",0.00084302,0.15781942,0.00033385,0.54848771,0,0,-0.00250603,1.26,26
"128",0.00085667,0.14418538,0.00034431,0.54503852,0,0,-0.00252725,1.27,26
"129",0.00087065,0.13021664,0.00035514,0.54121036,0,0,-0.00255038,1.28,26
"130",0.00088446,0.11642851,0.00036622,0.53714758,0,0,-0.00257295,1.29,26
"131",0.00089859,0.10231332,0.0003777,0.53267632,0,0,-0.00259755,1.3,27
"132",0.00091252,0.08839273,0.00038943,0.52796088,0,0,-0.00262156,1.31,27
"133",0.00092677,0.0741553,0.0004016,0.52280541,0,0,-0.00264772,1.32,27
"134",0.00094081,0.06012837,0.00041402,0.51739572,0,0,-0.00267326,1.33,27
"135",0.00095516,0.04579793,0.00042691,0.51151238,0,0,-0.00270108,1.34,27
"136",0.00096927,0.03169616,0.00044008,0.50536436,0,0,-0.00272823,1.35,28
"137",0.00098368,0.01730787,0.00045375,0.49870703,0,0,-0.00275778,1.36,28
"138",0.00099783,0.00316909,0.00046769,0.4917743,0,0,-0.00278663,1.37,28
"139",0.00101225,-0.01123484,0.00048219,0.48429464,0,0,-0.00281799,1.38,28
"140",0.00102639,-0.0253653,0.00049697,0.47652882,0,0,-0.0028486,1.39,28
"141",0.00104078,-0.03973437,0.00051234,0.46817675,0,0,-0.00288182,1.4,29
"142",0.00105486,-0.05380237,0.000528,0.45952803,0,0,-0.00291421,1.41,29
